CLAIM3YEARS,BUS_USE,CLERICAL,AD_BUILDINGS,RISK_RATED_AREA_B,SUM_INSURED_BUILDINGS,NCD_GRANTED_YEARS_B,AD_CONTENTS,RISK_RATED_AREA_C,SUM_INSURED_CONTENTS,NCD_GRANTED_YEARS_C,CONTENTS_COVER,BUILDINGS_COVER,SPEC_SUM_INSURED,SPEC_ITEM_PREM,UNSPEC_HRP_PREM,P1_POLICY_REFUSED,P1_SEX,APPR_ALARM,APPR_LOCKS,BEDROOMS,ROOF_CONSTRUCTION,WALL_CONSTRUCTION,FLOODING,LISTED,MAX_DAYS_UNOCC,NEIGH_WATCH,OWNERSHIP_TYPE,PAYING_GUESTS,PROP_TYPE,SAFE_INSTALLED,SEC_DISC_REQ,SUBSIDENCE,YEARBUILT,PAYMENT_METHOD,PAYMENT_FREQUENCY,LEGAL_ADDON_PRE_REN,LEGAL_ADDON_POST_REN,HOME_EM_ADDON_PRE_REN,HOME_EM_ADDON_POST_REN,GARDEN_ADDON_PRE_REN,GARDEN_ADDON_POST_REN,KEYCARE_ADDON_PRE_REN,KEYCARE_ADDON_POST_REN,HP1_ADDON_PRE_REN,HP1_ADDON_POST_REN,HP2_ADDON_PRE_REN,HP2_ADDON_POST_REN,HP3_ADDON_PRE_REN,HP3_ADDON_POST_REN,MTA_FLAG,MTA_FAP,MTA_APRP,LAST_ANN_PREM_GROSS,POL_STATUS,P1_AGE,PROP_AGE,DAYS_TO_BIND,DAYS_SINCE_MTA,HAS_ADJUSTED,HAS_MTA,IS_STANDARD_OCCUPANCY,HAS_PT_EMP,MAR_STATUS_Couple,MAR_STATUS_Solo,QUOTE_MONTH,QUOTE_WEEKDAY,EMP_STATUS_Carer,EMP_STATUS_Disabled,EMP_STATUS_Employed,EMP_STATUS_Houseperson,EMP_STATUS_None,EMP_STATUS_Other,EMP_STATUS_Student,EMP_STATUS_Unemployed,EMP_STATUS_Voluntary
0,1,0,1,25.0,1000000.0,6.0,1,9.0,50000.0,7.0,1,1,0.0,0.0,24.6,0,0,0,0,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,2.0,0,0,0,1960.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,308.83,-9.27,308.83,0,37,48.0,40,-1.0,0,0,1,0,1,0,11,3,0,0,1,0,0,0,0,0,0
0,0,0,0,9.0,0.0,0.0,1,12.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,0,1,1,2.0,11.0,15.0,1,3.0,0.0,1,8.0,0.0,9.0,0,1,0,1946.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52.65,52.65,52.65,0,60,61.0,0,-1.0,0,0,1,0,0,1,11,4,0,0,1,0,0,0,0,0,0
0,0,0,1,0.0,1000000.0,3.0,1,0.0,50000.0,3.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,19.0,0,1,0,1960.0,1,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,242.16,0.0,242.16,0,60,48.0,60,-1.0,0,0,1,0,1,0,11,3,0,0,1,0,0,0,0,0,0
0,0,0,1,5.0,1000000.0,7.0,1,1.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,10.0,0,1,0,1946.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,188.31,0,54,61.0,9,-1.0,0,0,1,0,0,1,11,3,0,0,1,0,0,0,0,0,0
1,0,0,1,8.0,1000000.0,4.0,1,1.0,50000.0,4.0,1,1,2700.0,16.68,14.86,0,1,0,0,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,19.0,0,0,0,1900.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,397.42,0,50,107.0,31,-1.0,0,0,1,0,1,0,11,2,0,0,1,0,0,0,0,0,0
0,0,0,0,9.0,0.0,0.0,1,2.0,50000.0,7.0,0,1,0.0,0.0,16.07,0,1,0,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,1.0,0,1,0,1960.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,75.56,0,61,47.0,41,-1.0,0,0,1,0,1,0,11,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1.0,1000000.0,7.0,1,7.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,19.0,0,1,0,1870.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,232.06,0,56,137.0,4,-1.0,0,0,1,0,0,1,11,1,0,0,1,0,0,0,0,0,0
0,0,0,0,10.0,0.0,0.0,1,9.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,0,0,1,1.0,11.0,15.0,1,3.0,0.0,0,12.0,0.0,25.0,0,1,0,1920.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,56.03,0,56,88.0,41,-1.0,0,0,1,0,0,1,12,0,0,0,1,0,0,0,0,0,0
0,0,0,0,10.0,0.0,0.0,1,9.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,0,0,1,2.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,7.0,0,1,0,1980.0,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,73.9,0,53,28.0,44,-1.0,0,0,1,0,1,0,12,5,0,0,1,0,0,0,0,0,0
1,0,0,1,0.0,1000000.0,1.0,1,0.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,1,0,1,4.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,2.0,0,1,0,1990.0,1,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,372.83,372.83,372.83,0,51,17.0,27,-1.0,0,0,1,0,1,0,10,1,0,0,1,0,0,0,0,0,0
0,1,1,1,0.0,1000000.0,7.0,1,0.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,9.0,0,1,0,1946.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,144.73,0.0,144.73,1,62,61.0,35,-1.0,0,0,1,0,0,1,10,3,0,0,1,0,0,0,0,0,0
0,0,0,0,10.0,0.0,0.0,1,16.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,1,0,1,3.0,11.0,15.0,1,3.0,0.0,0,12.0,0.0,19.0,0,1,0,1900.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.22,0,58,107.0,50,-1.0,0,0,1,0,0,0,10,3,0,0,1,0,0,0,0,0,0
0,0,0,1,15.0,1000000.0,6.0,1,32.0,50000.0,6.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,10.0,0,1,0,1946.0,1,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,211.81,0,65,65.0,60,-1.0,0,0,1,0,1,0,10,3,0,0,1,0,0,0,0,0,0
0,0,0,0,10.0,0.0,0.0,1,2.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,1,0,1,3.0,11.0,15.0,1,3.0,0.0,1,18.0,0.0,18.0,0,1,0,1960.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,75.39,0,46,47.0,45,-1.0,0,0,1,0,0,1,10,2,0,0,1,0,0,0,0,0,0
0,0,0,0,10.0,0.0,0.0,1,1.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,10.0,0,1,0,1960.0,0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,55.08,0,77,47.0,11,-1.0,0,0,1,0,1,0,11,1,0,0,1,0,0,0,0,0,0
0,0,0,1,7.0,1000000.0,7.0,1,1.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,1,0,1,3.0,11.0,15.0,1,3.0,0.0,1,8.0,0.0,10.0,0,1,0,1946.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,166.27,1,72,61.0,47,-1.0,0,0,1,0,0,1,11,2,0,0,1,0,0,0,0,0,0
